Frame,Nose_x,Nose_y,Nose_likelihood,Left_Ear_x,Left_Ear_y,Left_Ear_likelihood,Right_Ear_x,Right_Ear_y,Right_Ear_likelihood,Body_Center_x,Body_Center_y,Body_Center_likelihood,Left_Body_x,Left_Body_y,Left_Body_likelihood,Right_Body_x,Right_Body_y,Right_Body_likelihood,Tail_Base_x,Tail_Base_y,Tail_Base_likelihood,Head_Center_x,Head_Center_y
70,116.92,148.76,0.19,117.63,159.52,0.13,122.5,154.43,0.24,207.0,24.49,0.03,217.6,13.48,0.07,127.53,162.01,0.04,119.03,145.14,0.08,119.01,154.24
71,116.84,148.81,0.2,117.63,159.52,0.14,122.55,154.53,0.25,115.6,159.76,0.04,119.5,157.09,0.03,127.66,162.05,0.04,119.1,145.07,0.09,119.01,154.28
72,117.98,150.5,0.23,117.6,159.54,0.2,122.39,155.48,0.28,114.87,154.87,0.06,118.09,154.5,0.04,124.6,164.14,0.08,118.85,145.15,0.13,119.32,155.17
73,117.92,150.68,0.24,117.54,159.66,0.21,122.31,155.76,0.28,114.84,155.02,0.06,118.12,154.6,0.04,124.45,164.07,0.08,118.74,145.09,0.14,119.26,155.37
74,117.95,150.64,0.23,117.51,159.64,0.21,122.36,155.72,0.28,114.79,155.03,0.06,118.06,154.6,0.04,124.47,164.11,0.08,118.76,145.09,0.14,119.27,155.33
75,117.9,150.59,0.24,117.48,159.64,0.21,122.39,155.66,0.28,114.8,155.13,0.06,118.05,154.7,0.04,124.47,164.11,0.08,118.76,145.05,0.14,119.26,155.29
76,117.95,150.59,0.23,117.5,159.66,0.21,122.38,155.68,0.28,114.81,155.1,0.06,118.06,154.66,0.04,124.47,164.11,0.08,118.79,145.06,0.14,119.28,155.31
77,117.89,150.38,0.24,117.4,159.61,0.21,122.51,155.49,0.29,114.8,155.26,0.07,118.06,154.88,0.05,124.47,164.15,0.08,118.78,144.98,0.14,119.27,155.16
78,117.92,150.34,0.23,117.44,159.87,0.2,122.37,155.77,0.27,114.73,155.15,0.07,116.88,154.43,0.05,124.42,164.02,0.08,118.78,144.91,0.15,119.24,155.33
79,117.94,150.51,0.22,117.44,160.05,0.21,122.31,156.01,0.27,114.73,155.11,0.08,117.08,154.38,0.05,124.5,163.99,0.07,118.8,144.83,0.16,119.23,155.52
80,117.87,150.67,0.22,117.5,160.16,0.21,122.21,156.22,0.27,114.76,154.99,0.08,117.29,154.22,0.05,124.61,164.04,0.06,118.71,144.67,0.18,119.19,155.69
81,117.9,151.3,0.23,120.14,165.27,0.24,115.28,164.34,0.28,114.92,154.81,0.09,117.96,154.17,0.05,124.52,163.97,0.06,118.53,144.74,0.2,117.77,160.3
82,118.69,172.26,0.25,117.84,161.02,0.27,115.22,164.23,0.3,115.1,154.59,0.1,118.53,153.98,0.06,124.24,163.75,0.06,118.39,144.8,0.21,117.25,165.83
83,118.32,172.35,0.29,118.13,161.52,0.3,115.1,164.05,0.33,115.25,154.25,0.12,120.45,159.31,0.07,125.47,160.21,0.06,118.1,144.87,0.24,117.18,165.97
84,118.02,172.21,0.31,118.18,161.64,0.32,115.05,163.91,0.34,115.28,154.2,0.12,120.6,159.4,0.08,125.3,160.01,0.07,117.94,144.91,0.25,117.08,165.92
85,117.95,170.18,0.33,118.21,161.73,0.35,115.05,163.79,0.35,123.42,160.96,0.13,120.8,159.83,0.1,125.39,159.87,0.1,117.77,145.01,0.26,117.07,165.23
86,117.27,169.88,0.36,118.12,161.63,0.36,115.13,163.55,0.36,123.6,161.24,0.15,125.14,160.4,0.12,125.65,160.08,0.12,117.76,145.15,0.25,116.84,165.02
87,116.56,169.99,0.38,118.08,161.96,0.39,116.12,161.27,0.39,123.66,161.39,0.18,125.22,160.73,0.15,125.1,159.9,0.15,117.7,145.14,0.25,116.92,164.41
88,115.91,170.39,0.4,118.21,162.52,0.41,115.85,161.47,0.41,123.6,161.14,0.21,125.51,160.89,0.18,124.15,159.08,0.18,117.72,145.01,0.26,116.66,164.79
89,115.94,170.56,0.4,118.03,162.54,0.42,115.79,161.6,0.41,123.1,161.4,0.21,125.19,161.13,0.18,123.68,159.38,0.18,117.67,144.93,0.26,116.59,164.9
90,115.94,170.47,0.4,117.99,162.55,0.42,115.77,161.59,0.41,123.0,161.43,0.21,125.16,161.11,0.17,123.56,159.43,0.17,117.57,144.91,0.27,116.57,164.87
91,115.92,170.68,0.39,117.89,162.54,0.41,115.75,161.71,0.41,122.82,161.61,0.2,125.06,161.25,0.17,123.41,159.67,0.17,117.59,144.88,0.26,116.52,164.98
92,115.94,170.68,0.39,117.88,162.55,0.41,115.75,161.73,0.41,122.81,161.63,0.2,125.07,161.27,0.17,123.36,159.68,0.16,117.59,144.89,0.26,116.52,164.98
93,115.62,172.4,0.38,117.79,162.42,0.41,115.66,161.82,0.4,122.54,161.64,0.19,124.86,161.23,0.16,123.3,159.78,0.16,117.57,144.85,0.26,116.36,165.55
94,116.78,172.54,0.35,117.38,161.62,0.37,114.61,163.8,0.37,114.87,155.55,0.14,119.78,159.93,0.11,124.39,161.04,0.1,117.66,144.78,0.25,116.26,165.98
95,117.75,150.6,0.29,119.34,165.29,0.28,122.08,156.79,0.34,114.66,155.8,0.11,117.29,154.91,0.07,124.46,164.03,0.1,118.18,144.72,0.21,119.72,157.56
96,117.76,150.28,0.27,119.38,165.22,0.26,122.27,156.15,0.32,114.69,155.58,0.1,117.21,154.68,0.07,124.53,164.18,0.09,118.39,144.67,0.19,119.81,157.22
97,117.77,150.41,0.26,119.5,165.28,0.25,122.15,156.29,0.31,114.71,155.35,0.1,117.45,154.52,0.07,124.5,164.14,0.08,118.48,144.61,0.19,119.81,157.33
98,117.77,150.3,0.24,119.6,165.24,0.23,122.15,156.1,0.3,114.73,155.29,0.1,117.38,154.47,0.06,124.56,164.14,0.07,118.56,144.6,0.19,119.84,157.22
99,117.84,150.52,0.23,119.73,165.25,0.23,122.06,156.32,0.28,114.76,155.08,0.1,117.5,154.35,0.06,124.54,164.12,0.07,118.61,144.64,0.19,119.88,157.37
100,117.92,150.52,0.23,119.82,165.16,0.22,122.16,156.11,0.28,114.76,155.0,0.09,117.3,154.31,0.06,124.55,164.11,0.07,118.66,144.69,0.18,119.97,157.27
101,117.87,150.45,0.23,119.85,165.12,0.22,122.21,155.97,0.28,114.78,155.08,0.09,117.23,154.36,0.06,124.58,164.11,0.07,118.68,144.69,0.18,119.98,157.18
102,117.83,150.39,0.24,117.26,159.97,0.21,122.26,155.88,0.29,114.82,155.21,0.09,117.19,154.48,0.06,124.59,164.11,0.07,118.67,144.7,0.18,119.12,155.41
103,117.86,150.43,0.24,119.86,165.09,0.21,122.24,155.91,0.28,114.79,155.12,0.09,117.22,154.37,0.06,124.62,164.12,0.07,118.7,144.72,0.17,119.99,157.14
104,117.87,150.44,0.24,119.83,165.14,0.22,122.21,155.94,0.29,114.82,155.12,0.09,117.19,154.41,0.06,124.62,164.13,0.07,118.69,144.72,0.18,119.97,157.17
105,117.85,150.4,0.24,119.82,165.11,0.22,122.23,155.85,0.29,114.81,155.16,0.09,117.18,154.41,0.06,124.64,164.14,0.07,118.71,144.74,0.17,119.97,157.12
106,117.87,150.42,0.24,119.83,165.09,0.22,122.25,155.88,0.29,114.79,155.15,0.09,117.19,154.38,0.06,124.62,164.13,0.07,118.69,144.73,0.17,119.99,157.13
107,117.83,150.35,0.24,117.21,159.89,0.22,122.28,155.78,0.29,114.8,155.25,0.09,117.12,154.5,0.06,124.64,164.17,0.08,118.71,144.75,0.17,119.11,155.34
